Team,ORtg,DRtg,TS%,TOV%,ORB%,DRB%,Season,W%
Memphis Grizzlies,105.5,102.9,0.535,14.3,27.1,69.9,2004,0.5487804878048781
Sacramento Kings,110.5,108.2,0.541,12.0,28.8,69.0,2004,0.6097560975609756
Denver Nuggets,106.0,103.9,0.535,13.8,28.4,71.7,2004,0.5975609756097561
Minnesota Timberwolves,108.2,106.6,0.534,12.7,28.6,71.4,2004,0.5365853658536586
Chicago Bulls,101.4,100.3,0.517,15.5,28.4,72.6,2004,0.573170731707317
Boston Celtics,107.5,106.6,0.551,14.7,27.2,70.1,2004,0.5487804878048781
Cleveland Cavaliers,106.6,105.7,0.518,13.0,32.5,71.5,2004,0.5121951219512195
Indiana Pacers,105.5,104.6,0.534,14.1,26.4,71.3,2004,0.5365853658536586
Washington Wizards,107.2,107.5,0.523,12.9,31.1,70.0,2004,0.5487804878048781
Philadelphia 76ers,103.5,104.3,0.528,14.2,25.4,72.7,2004,0.524390243902439
Los Angeles Clippers,105.5,106.4,0.533,14.9,30.3,71.3,2004,0.45121951219512196
New Jersey Nets,101.4,103.1,0.512,13.7,25.5,73.2,2004,0.5121951219512195
Toronto Raptors,106.9,108.7,0.539,12.5,23.7,71.1,2004,0.4024390243902439
Golden State Warriors,104.7,106.9,0.512,12.3,27.8,69.7,2004,0.4146341463414634
Orlando Magic,104.9,107.3,0.529,14.6,29.9,71.3,2004,0.43902439024390244
New York Knicks,106.2,108.9,0.531,13.8,28.3,71.2,2004,0.4024390243902439
Milwaukee Bucks,106.6,109.8,0.527,13.0,29.0,72.0,2004,0.36585365853658536
Los Angeles Lakers,108.1,111.4,0.535,13.4,29.5,71.1,2004,0.4146341463414634
Portland Trail Blazers,103.2,107.7,0.524,15.2,29.6,67.7,2004,0.32926829268292684
Utah Jazz,104.7,109.5,0.522,15.0,31.9,72.3,2004,0.3170731707317073
Charlotte Bobcats,101.1,107.5,0.497,13.3,29.5,70.9,2004,0.21951219512195122
New Orleans Hornets,99.7,107.7,0.493,14.2,29.1,70.7,2004,0.21951219512195122
Atlanta Hawks,100.6,111.1,0.504,14.9,30.7,72.1,2004,0.15853658536585366
San Antonio Spurs,107.3,99.6,0.546,13.6,26.0,74.2,2005,0.7682926829268293
Detroit Pistons,110.8,103.1,0.535,11.2,28.9,71.2,2005,0.7804878048780488
Dallas Mavericks,111.8,105.0,0.55,13.1,31.8,72.2,2005,0.7317073170731707
Phoenix Suns,111.5,105.8,0.568,12.2,22.1,72.1,2005,0.6585365853658537
Memphis Grizzlies,105.9,101.6,0.537,13.9,25.8,72.0,2005,0.5975609756097561
Miami Heat,108.7,104.5,0.556,13.9,26.7,76.4,2005,0.6341463414634146
Los Angeles Lakers,108.4,105.7,0.539,13.1,28.8,73.6,2005,0.5487804878048781
Cleveland Cavaliers,107.8,105.4,0.538,13.3,28.4,75.7,2005,0.6097560975609756
Indiana Pacers,104.5,102.4,0.533,14.8,27.1,72.6,2005,0.5
Washington Wizards,109.3,107.3,0.538,12.8,29.5,70.9,2005,0.5121951219512195
Sacramento Kings,106.7,105.0,0.544,13.9,25.4,72.2,2005,0.5365853658536586
Los Angeles Clippers,105.3,103.6,0.54,13.8,25.4,75.9,2005,0.573170731707317
New Jersey Nets,103.9,102.4,0.528,13.3,24.0,76.3,2005,0.5975609756097561
Chicago Bulls,104.0,103.4,0.527,13.9,26.3,74.7,2005,0.5
Denver Nuggets,105.5,105.2,0.535,13.7,26.8,72.0,2005,0.5365853658536586
Milwaukee Bucks,106.3,107.4,0.535,13.8,27.3,74.6,2005,0.4878048780487805
Orlando Magic,106.3,107.5,0.543,14.7,28.5,72.5,2005,0.43902439024390244
Golden State Warriors,104.8,106.2,0.521,13.0,26.9,71.6,2005,0.4146341463414634
Houston Rockets,101.6,103.3,0.519,14.3,25.5,74.6,2005,0.4146341463414634
Boston Celtics,105.2,106.9,0.551,15.7,25.5,72.8,2005,0.4024390243902439
Minnesota Timberwolves,102.4,104.5,0.524,14.2,25.2,71.3,2005,0.4024390243902439
Philadelphia 76ers,106.0,108.1,0.538,13.3,25.6,71.3,2005,0.4634146341463415
Utah Jazz,104.1,107.0,0.519,15.0,32.4,73.2,2005,0.5
New Orleans/Oklahoma City Hornets,103.7,106.8,0.515,12.9,26.9,73.4,2005,0.4634146341463415
Toronto Raptors,109.5,112.7,0.548,12.4,25.4,73.3,2005,0.32926829268292684
Seattle SuperSonics,111.1,114.4,0.551,13.7,30.4,69.0,2005,0.4268292682926829
Charlotte Bobcats,102.5,106.7,0.509,13.0,27.1,70.7,2005,0.3170731707317073
Atlanta Hawks,106.4,111.6,0.534,14.7,31.4,69.5,2005,0.3170731707317073
New York Knicks,104.0,111.0,0.534,16.5,31.2,72.8,2005,0.2804878048780488
Portland Trail Blazers,101.1,111.9,0.511,14.5,26.6,68.2,2005,0.25609756097560976
San Antonio Spurs,109.2,99.9,0.561,13.6,24.2,75.7,2006,0.7073170731707317
Dallas Mavericks,111.3,103.2,0.559,13.4,28.7,75.0,2006,0.8170731707317073
Phoenix Suns,113.9,106.4,0.59,13.4,22.7,71.9,2006,0.7439024390243902
Chicago Bulls,104.9,99.6,0.534,14.7,28.6,74.3,2006,0.5975609756097561
Houston Rockets,106.0,100.7,0.54,13.6,25.7,77.0,2006,0.6341463414634146
Detroit Pistons,108.9,104.2,0.535,12.0,28.3,70.9,2006,0.6463414634146342
Cleveland Cavaliers,105.5,101.3,0.522,13.4,29.7,75.8,2006,0.6097560975609756
Utah Jazz,110.1,107.0,0.551,14.5,31.7,75.1,2006,0.6219512195121951
Denver Nuggets,107.6,105.9,0.548,14.6,28.9,71.8,2006,0.5487804878048781
Toronto Raptors,107.0,106.0,0.55,13.0,22.2,74.5,2006,0.573170731707317
Orlando Magic,104.9,104.1,0.544,16.3,29.3,73.7,2006,0.4878048780487805
Los Angeles Lakers,108.6,108.6,0.554,14.3,26.1,72.3,2006,0.5121951219512195
Golden State Warriors,107.0,107.4,0.548,14.1,25.6,69.6,2006,0.5121951219512195
Washington Wizards,110.1,110.6,0.542,12.6,28.1,71.0,2006,0.5
Los Angeles Clippers,105.1,105.6,0.537,14.5,27.2,74.7,2006,0.4878048780487805
New Jersey Nets,105.7,106.6,0.546,14.2,24.6,74.4,2006,0.5
Miami Heat,104.3,105.3,0.541,14.3,24.9,73.3,2006,0.5365853658536586
New Orleans/Oklahoma City Hornets,104.8,106.5,0.52,13.6,29.1,74.7,2006,0.47560975609756095
Sacramento Kings,106.2,108.0,0.545,13.5,23.1,72.5,2006,0.4024390243902439
Indiana Pacers,102.9,105.5,0.523,15.1,28.4,72.7,2006,0.4268292682926829
Seattle SuperSonics,107.2,110.3,0.544,14.5,27.8,70.9,2006,0.3780487804878049
New York Knicks,105.7,108.8,0.539,15.9,31.0,74.0,2006,0.4024390243902439
Philadelphia 76ers,103.6,106.9,0.53,14.6,27.2,70.8,2006,0.4268292682926829
Boston Celtics,103.2,106.9,0.53,15.4,27.0,73.8,2006,0.2926829268292683
Minnesota Timberwolves,103.9,107.9,0.537,14.8,25.1,72.1,2006,0.3902439024390244
Charlotte Bobcats,103.6,107.6,0.524,13.9,26.4,71.6,2006,0.4024390243902439
Milwaukee Bucks,107.0,111.7,0.541,14.1,27.6,68.1,2006,0.34146341463414637
Portland Trail Blazers,105.1,109.9,0.53,14.5,28.2,73.0,2006,0.3902439024390244
Atlanta Hawks,103.0,108.3,0.523,15.1,29.2,70.9,2006,0.36585365853658536
Memphis Grizzlies,106.9,112.3,0.555,15.2,25.9,71.1,2006,0.2682926829268293
Boston Celtics,110.2,98.9,0.569,14.7,26.6,74.4,2007,0.8048780487804879
Detroit Pistons,111.4,102.9,0.539,11.4,29.4,73.7,2007,0.7195121951219512
Los Angeles Lakers,113.0,105.5,0.57,12.9,26.3,73.4,2007,0.6951219512195121
Utah Jazz,113.8,106.5,0.573,13.6,29.5,74.1,2007,0.6585365853658537
Orlando Magic,111.3,105.5,0.575,13.6,23.4,74.8,2007,0.6341463414634146
New Orleans Hornets,111.5,105.7,0.548,11.4,27.0,75.4,2007,0.6829268292682927
San Antonio Spurs,107.2,101.8,0.543,12.6,23.4,77.1,2007,0.6829268292682927
Houston Rockets,106.8,101.6,0.528,13.0,29.1,74.8,2007,0.6707317073170732
Phoenix Suns,113.3,108.1,0.59,13.4,22.4,70.9,2007,0.6707317073170732
Dallas Mavericks,111.1,106.1,0.554,12.3,26.7,75.0,2007,0.6219512195121951
Denver Nuggets,110.0,106.3,0.557,12.9,25.5,72.1,2007,0.6097560975609756
Toronto Raptors,110.2,107.0,0.551,11.4,23.4,75.0,2007,0.5
Golden State Warriors,111.8,109.5,0.548,11.5,27.2,70.3,2007,0.5853658536585366
Philadelphia 76ers,106.4,106.0,0.522,13.4,31.8,72.0,2007,0.4878048780487805
Washington Wizards,109.2,109.6,0.535,12.5,28.9,72.8,2007,0.524390243902439
Cleveland Cavaliers,106.0,106.4,0.52,13.1,30.4,75.9,2007,0.5487804878048781
Portland Trail Blazers,107.3,108.4,0.532,12.6,26.8,71.8,2007,0.5
Indiana Pacers,106.0,107.5,0.54,13.5,24.4,73.9,2007,0.43902439024390244
Atlanta Hawks,106.9,108.9,0.535,14.0,29.7,71.7,2007,0.45121951219512196
Sacramento Kings,107.5,109.9,0.556,14.8,25.2,71.7,2007,0.4634146341463415
Chicago Bulls,103.9,107.2,0.515,13.4,28.9,73.1,2007,0.4024390243902439
Charlotte Bobcats,104.6,109.4,0.532,13.9,25.6,71.0,2007,0.3902439024390244
New Jersey Nets,104.0,109.4,0.528,14.2,26.6,73.8,2007,0.4146341463414634
Memphis Grizzlies,105.0,111.4,0.539,14.0,23.8,73.4,2007,0.2682926829268293
New York Knicks,104.7,111.9,0.518,13.4,28.6,72.7,2007,0.2804878048780488
Minnesota Timberwolves,103.8,111.2,0.518,13.6,27.5,73.6,2007,0.2682926829268293
Milwaukee Bucks,105.3,112.8,0.522,13.7,30.0,73.0,2007,0.3170731707317073
Los Angeles Clippers,101.2,109.1,0.519,13.7,23.1,73.1,2007,0.2804878048780488
Seattle SuperSonics,100.5,109.5,0.509,14.3,26.8,73.7,2007,0.24390243902439024
Miami Heat,100.5,110.0,0.522,14.4,22.1,71.9,2007,0.18292682926829268
Cleveland Cavaliers,112.4,102.4,0.56,12.5,27.7,74.6,2008,0.8048780487804879
Boston Celtics,110.5,102.3,0.571,15.0,27.9,75.6,2008,0.7560975609756098
Los Angeles Lakers,112.8,104.7,0.555,12.3,29.4,73.0,2008,0.7926829268292683
Orlando Magic,109.2,101.9,0.559,13.4,24.0,75.9,2008,0.7195121951219512
Portland Trail Blazers,113.9,107.8,0.553,12.5,32.6,75.0,2008,0.6585365853658537
Houston Rockets,108.4,104.0,0.548,13.6,26.4,75.3,2008,0.6463414634146342
San Antonio Spurs,108.5,104.3,0.548,11.7,22.1,78.0,2008,0.6585365853658537
Denver Nuggets,110.4,106.8,0.563,14.2,27.5,71.7,2008,0.6585365853658537
Utah Jazz,110.1,107.3,0.554,13.6,28.2,72.7,2008,0.5853658536585366
Dallas Mavericks,110.5,108.4,0.55,12.1,26.6,74.6,2008,0.6097560975609756
Phoenix Suns,113.6,111.6,0.584,14.4,27.7,71.7,2008,0.5609756097560976
Atlanta Hawks,109.3,107.6,0.546,12.5,26.0,71.6,2008,0.573170731707317
New Orleans Hornets,108.7,107.0,0.548,12.5,24.6,74.9,2008,0.5975609756097561
Miami Heat,107.8,107.6,0.54,12.1,24.6,72.9,2008,0.524390243902439
Philadelphia 76ers,107.9,107.8,0.532,13.4,31.3,71.4,2008,0.5
Chicago Bulls,108.4,108.7,0.541,13.3,28.0,70.9,2008,0.5
Detroit Pistons,107.4,108.0,0.524,11.7,27.9,74.0,2008,0.47560975609756095
Indiana Pacers,108.1,109.2,0.545,13.1,25.4,74.5,2008,0.43902439024390244
Milwaukee Bucks,106.7,107.9,0.531,13.1,27.8,74.0,2008,0.4146341463414634
Charlotte Bobcats,104.7,106.1,0.536,15.1,27.7,73.0,2008,0.4268292682926829
New York Knicks,108.1,110.8,0.544,12.9,24.4,72.7,2008,0.3902439024390244
New Jersey Nets,108.3,111.0,0.543,12.7,25.2,73.5,2008,0.4146341463414634
Toronto Raptors,107.0,110.0,0.542,12.8,24.0,73.7,2008,0.4024390243902439
Golden State Warriors,109.5,113.3,0.549,12.9,26.1,68.1,2008,0.35365853658536583
Minnesota Timberwolves,106.1,111.4,0.526,13.3,27.7,75.0,2008,0.2926829268292683
Memphis Grizzlies,103.5,109.5,0.533,14.8,25.8,73.5,2008,0.2926829268292683
Oklahoma City Thunder,102.9,109.4,0.521,14.8,28.6,73.9,2008,0.2804878048780488
Washington Wizards,105.4,113.6,0.524,13.2,27.7,71.4,2008,0.23170731707317074
Sacramento Kings,105.5,114.7,0.542,14.3,24.5,69.9,2008,0.2073170731707317
Los Angeles Clippers,102.3,111.7,0.52,14.0,25.1,71.2,2008,0.23170731707317074
Orlando Magic,111.4,103.3,0.573,13.6,24.6,77.4,2009,0.7195121951219512
Cleveland Cavaliers,111.2,104.1,0.57,13.4,25.1,77.2,2009,0.7439024390243902
Utah Jazz,110.7,105.0,0.565,14.2,26.8,75.6,2009,0.6463414634146342
San Antonio Spurs,110.0,104.5,0.552,12.9,26.8,76.3,2009,0.6097560975609756
Atlanta Hawks,111.9,106.7,0.545,11.4,28.2,72.7,2009,0.6463414634146342
Phoenix Suns,115.3,110.2,0.585,13.6,27.6,70.8,2009,0.6585365853658537
Los Angeles Lakers,108.8,103.7,0.538,12.4,27.6,74.4,2009,0.6951219512195121
Denver Nuggets,111.8,107.5,0.561,12.7,26.1,72.4,2009,0.6463414634146342
Boston Celtics,107.7,103.8,0.564,14.5,22.8,73.8,2009,0.6097560975609756
Portland Trail Blazers,110.8,107.1,0.547,12.1,28.2,74.8,2009,0.6097560975609756
Oklahoma City Thunder,108.3,104.6,0.547,13.9,28.6,73.6,2009,0.6097560975609756
Dallas Mavericks,109.2,106.3,0.552,12.3,24.3,73.7,2009,0.6707317073170732
Miami Heat,106.6,104.1,0.537,12.8,26.1,74.9,2009,0.573170731707317
Milwaukee Bucks,104.9,103.1,0.518,12.3,26.2,76.4,2009,0.5609756097560976
Charlotte Bobcats,104.4,102.8,0.538,15.1,26.5,74.2,2009,0.5365853658536586
Houston Rockets,107.6,108.0,0.537,13.2,26.9,73.8,2009,0.5121951219512195
Memphis Grizzlies,108.3,109.9,0.536,13.7,31.3,73.3,2009,0.4878048780487805
Chicago Bulls,103.5,105.3,0.52,13.3,26.6,74.8,2009,0.5
Toronto Raptors,111.3,113.2,0.564,12.7,24.7,72.9,2009,0.4878048780487805
New Orleans Hornets,107.4,110.1,0.543,12.7,24.8,73.8,2009,0.45121951219512196
Indiana Pacers,103.7,106.8,0.536,13.8,21.6,73.0,2009,0.3902439024390244
Golden State Warriors,108.1,111.7,0.557,13.1,20.9,68.5,2009,0.3170731707317073
New York Knicks,107.6,111.6,0.547,13.0,23.5,72.1,2009,0.35365853658536583
Philadelphia 76ers,106.1,110.3,0.534,13.7,27.6,73.2,2009,0.32926829268292684
Sacramento Kings,105.3,109.9,0.528,13.6,27.8,73.5,2009,0.3048780487804878
Washington Wizards,104.2,109.4,0.524,13.9,27.6,72.4,2009,0.3170731707317073
Detroit Pistons,105.6,111.4,0.515,12.8,30.3,73.4,2009,0.32926829268292684
Los Angeles Clippers,103.3,110.1,0.529,14.8,27.1,74.0,2009,0.35365853658536583
Minnesota Timberwolves,101.7,111.6,0.518,14.6,26.7,73.6,2009,0.18292682926829268
New Jersey Nets,100.6,110.5,0.509,13.7,25.1,71.8,2009,0.14634146341463414
Miami Heat,111.7,103.5,0.573,13.5,25.2,75.5,2010,0.7073170731707317
Chicago Bulls,108.3,100.3,0.541,13.5,29.4,76.2,2010,0.7560975609756098
Los Angeles Lakers,111.0,104.3,0.545,12.3,29.2,72.3,2010,0.6951219512195121
San Antonio Spurs,111.8,105.6,0.567,12.8,24.9,74.6,2010,0.7439024390243902
Boston Celtics,106.2,100.3,0.561,14.5,21.1,74.7,2010,0.6829268292682927
Orlando Magic,107.9,102.0,0.554,14.3,26.1,76.9,2010,0.6341463414634146
Denver Nuggets,112.3,107.3,0.574,13.1,23.9,75.4,2010,0.6097560975609756
Dallas Mavericks,109.7,105.0,0.565,13.6,24.1,74.8,2010,0.6951219512195121
Oklahoma City Thunder,111.2,107.2,0.561,13.1,27.4,73.6,2010,0.6707317073170732
Memphis Grizzlies,107.6,105.1,0.534,13.0,28.9,72.5,2010,0.5609756097560976
Houston Rockets,111.3,109.0,0.55,12.3,27.4,72.7,2010,0.524390243902439
Portland Trail Blazers,108.8,107.1,0.533,12.6,29.5,72.0,2010,0.5853658536585366
Philadelphia 76ers,106.6,105.0,0.535,12.3,24.6,74.5,2010,0.5
New Orleans Hornets,106.2,105.2,0.537,12.8,25.1,76.2,2010,0.5609756097560976
New York Knicks,110.9,110.1,0.561,12.6,24.2,71.9,2010,0.5121951219512195
Milwaukee Bucks,101.6,102.5,0.511,13.0,24.7,74.8,2010,0.4268292682926829
Phoenix Suns,109.5,110.4,0.559,13.2,23.7,71.6,2010,0.4878048780487805
Atlanta Hawks,106.1,107.0,0.542,13.5,23.4,74.6,2010,0.5365853658536586
Indiana Pacers,104.8,106.0,0.533,14.1,25.9,74.1,2010,0.45121951219512196
Utah Jazz,108.1,110.1,0.544,13.5,27.0,71.7,2010,0.47560975609756095
Golden State Warriors,108.2,110.7,0.544,13.3,26.7,69.3,2010,0.43902439024390244
Los Angeles Clippers,105.3,108.7,0.535,15.1,28.4,73.2,2010,0.3902439024390244
Detroit Pistons,107.7,111.7,0.533,12.5,27.4,72.1,2010,0.36585365853658536
Charlotte Bobcats,103.4,107.8,0.528,14.1,25.7,75.2,2010,0.4146341463414634
Sacramento Kings,103.5,109.0,0.519,14.4,29.9,74.4,2010,0.2926829268292683
New Jersey Nets,103.1,109.9,0.517,13.4,26.1,74.2,2010,0.2926829268292683
Toronto Raptors,106.1,112.9,0.533,13.7,28.2,72.0,2010,0.2682926829268293
Minnesota Timberwolves,104.2,111.1,0.526,15.1,29.6,73.7,2010,0.2073170731707317
Washington Wizards,102.4,110.2,0.513,13.9,28.0,70.5,2010,0.2804878048780488
Cleveland Cavaliers,102.2,111.8,0.518,13.4,24.2,73.3,2010,0.23170731707317074
Chicago Bulls,107.4,98.3,0.523,13.2,32.6,74.3,2011,0.7575757575757576
San Antonio Spurs,110.9,103.2,0.562,12.8,25.1,76.0,2011,0.7575757575757576
Oklahoma City Thunder,109.8,103.2,0.567,15.3,27.8,72.1,2011,0.7121212121212122
Miami Heat,106.6,100.2,0.549,14.5,26.6,73.9,2011,0.696969696969697
Philadelphia 76ers,103.9,99.2,0.511,10.9,24.4,75.2,2011,0.5303030303030303
Atlanta Hawks,104.9,101.2,0.535,13.4,23.9,74.4,2011,0.6060606060606061
Indiana Pacers,106.7,103.1,0.526,13.1,29.2,72.3,2011,0.6363636363636364
New York Knicks,104.4,101.0,0.533,14.9,26.6,73.7,2011,0.5454545454545454
Denver Nuggets,109.2,106.2,0.556,14.1,27.7,74.3,2011,0.5757575757575758
Boston Celtics,101.0,98.2,0.535,14.7,19.7,72.4,2011,0.5909090909090909
